2022.06.05 15:55:41 ERROR sbt command failed: /usr/lib/jvm/java-11-openjdk-amd64/bin/java -Djline.terminal=jline.UnsupportedTerminal -Dsbt.log.noformat=true -Dfile.encoding=UTF-8 -jar /tmp/metals11687993923818224304/sbt-launch.jar -Dbloop.export-jar-classifiers=sources bloopInstall[0m
2022.06.05 15:55:42 INFO  [info] welcome to sbt 1.5.0 (Private Build Java 11.0.15)[0m
2022.06.05 15:55:43 INFO  [info] loading settings for project democracy-build-build-build from metals.sbt ...[0m
2022.06.05 15:55:43 INFO  [info] welcome to sbt 1.5.0 (Private Build Java 11.0.15)[0m
2022.06.05 15:55:44 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project/project/project[0m
2022.06.05 15:55:44 INFO  [info] loading settings for project democracy-build-build-build from metals.sbt ...[0m
2022.06.05 15:55:45 INFO  [info] loading settings for project democracy-build-build-build from metals.sbt ...[0m
2022.06.05 15:55:45 INFO  [info] loading settings for project democracy-build-build-build from metals.sbt ...[0m
2022.06.05 15:55:46 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project/project/project[0m
2022.06.05 15:55:46 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project/project/project[0m
2022.06.05 15:55:46 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project/project/project[0m
2022.06.05 15:55:50 INFO  [info] loading settings for project democracy-build-build from metals.sbt ...[0m
2022.06.05 15:55:50 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project/project[0m
2022.06.05 15:55:50 INFO  [info] loading settings for project democracy-build-build from metals.sbt ...[0m
2022.06.05 15:55:50 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project/project[0m
2022.06.05 15:55:51 ERROR [info] waiting for lock on /home/matthew/.ivy2/exclude_classifiers.lock to be available...[0m
2022.06.05 15:55:51 INFO  [info] loading settings for project democracy-build-build from metals.sbt ...[0m
2022.06.05 15:55:51 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project/project[0m
2022.06.05 15:55:52 INFO  [info] loading settings for project democracy-build-build from metals.sbt ...[0m
2022.06.05 15:55:52 ERROR [info] waiting for lock on /home/matthew/.ivy2/exclude_classifiers.lock to be available...[0m
2022.06.05 15:55:52 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project/project[0m
2022.06.05 15:55:53 ERROR [info] waiting for lock on /home/matthew/.ivy2/exclude_classifiers.lock to be available...[0m
2022.06.05 15:55:57 INFO  [success] Generated .bloop/democracy-build-build.json[0m
2022.06.05 15:55:57 INFO  [success] Total time: 7 s, completed Jun 5, 2022, 3:55:57 PM[0m
2022.06.05 15:55:58 INFO  [error] Couldn't run bloopGenerate for democracy-build-build. Cause:[0m
2022.06.05 15:55:58 INFO  [error] Incomplete(node=Some(Task(_)), tpe=Error, msg=None, causes=List(Incomplete(node=Some(Task(_)), tpe=Error, msg=None, causes=List(Incomplete(node=Some(Task(_)), tpe=Error, msg=None, causes=List(Incomplete(node=Some(Task((tags: Map(Tag(update) -> 1, Tag(network) -> 1), taskDefinitionKey: ScopedKey(Scope(Select(ProjectRef(file:/home/matthew/Documents/Scala/democracy/project/project/,democracy-build-build)), Zero, Zero, Zero),updateClassifiers)))), tpe=Error, msg=None, causes=List(), directCause=Some(lmcoursier.internal.shaded.coursier.error.FetchError$DownloadingArtifacts: Error fetching artifacts:[0m
2022.06.05 15:55:58 INFO  [error] https://repo1.maven.org/maven2/com/swoval/file-tree-views/2.1.6/file-tree-views-2.1.6-sources.jar: download error: Caught java.nio.file.NoSuchFileException: /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/com/swoval/file-tree-views/2.1.6/.file-tree-views-2.1.6-sources.jar.part -> /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/com/swoval/file-tree-views/2.1.6/file-tree-views-2.1.6-sources.jar (/home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/com/swoval/file-tree-views/2.1.6/.file-tree-views-2.1.6-sources.jar.part -> /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/com/swoval/file-tree-views/2.1.6/file-tree-views-2.1.6-sources.jar) while downloading https://repo1.maven.org/maven2/com/swoval/file-tree-views/2.1.6/file-tree-views-2.1.6-sources.jar[0m
2022.06.05 15:55:58 INFO  [error] https://repo1.maven.org/maven2/org/scala-sbt/librarymanagement-core_2.12/1.5.0/librarymanagement-core_2.12-1.5.0-sources.jar: download error: Caught java.nio.file.NoSuchFileException: /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/org/scala-sbt/librarymanagement-core_2.12/1.5.0/..librarymanagement-core_2.12-1.5.0-sources.jar__md5.part -> /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/org/scala-sbt/librarymanagement-core_2.12/1.5.0/.librarymanagement-core_2.12-1.5.0-sources.jar__md5 (/home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/org/scala-sbt/librarymanagement-core_2.12/1.5.0/..librarymanagement-core_2.12-1.5.0-sources.jar__md5.part -> /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/org/scala-sbt/librarymanagement-core_2.12/1.5.0/.librarymanagement-core_2.12-1.5.0-sources.jar__md5) while downloading https://repo1.maven.org/maven2/org/scala-sbt/librarymanagement-core_2.12/1.5.0/librarymanagement-core_2.12-1.5.0-sources.jar[0m
2022.06.05 15:55:58 INFO  [error] ))), directCause=None)), directCause=None)), directCause=None)[0m
2022.06.05 15:55:58 INFO  [warn] Removed stale /home/matthew/Documents/Scala/democracy/project/project/.bloop/democracy-build-build.json[0m
2022.06.05 15:55:58 INFO  [success] Total time: 7 s, completed Jun 5, 2022, 3:55:58 PM[0m
2022.06.05 15:55:59 INFO  [success] Generated .bloop/democracy-build-build.json[0m
2022.06.05 15:55:59 INFO  [info] loading settings for project democracy-build from buildSettings.sbt,metals.sbt,plugins.sbt ...[0m
2022.06.05 15:55:59 INFO  [success] Total time: 7 s, completed Jun 5, 2022, 3:55:59 PM[0m
2022.06.05 15:55:59 INFO  [info] loading settings for project democracy-build from buildSettings.sbt,metals.sbt,plugins.sbt ...[0m
2022.06.05 15:55:59 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project[0m
2022.06.05 15:55:59 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project[0m
2022.06.05 15:55:59 ERROR [info] waiting for lock on /home/matthew/.ivy2/exclude_classifiers.lock to be available...[0m
2022.06.05 15:55:59 ERROR [info] waiting for lock on /home/matthew/.ivy2/exclude_classifiers.lock to be available...[0m
2022.06.05 15:55:59 INFO  [info] loading settings for project democracy-build from buildSettings.sbt,metals.sbt,plugins.sbt ...[0m
2022.06.05 15:56:00 INFO  [error] Couldn't run bloopGenerate for democracy-build-build. Cause:[0m
2022.06.05 15:56:00 INFO  [error] Incomplete(node=Some(Task(_)), tpe=Error, msg=None, causes=List(Incomplete(node=Some(Task(_)), tpe=Error, msg=None, causes=List(Incomplete(node=Some(Task(_)), tpe=Error, msg=None, causes=List(Incomplete(node=Some(Task((tags: Map(Tag(update) -> 1, Tag(network) -> 1), taskDefinitionKey: ScopedKey(Scope(Select(ProjectRef(file:/home/matthew/Documents/Scala/democracy/project/project/,democracy-build-build)), Zero, Zero, Zero),updateClassifiers)))), tpe=Error, msg=None, causes=List(), directCause=Some(lmcoursier.internal.shaded.coursier.error.FetchError$DownloadingArtifacts: Error fetching artifacts:[0m
2022.06.05 15:56:00 INFO  [error] https://repo1.maven.org/maven2/ch/epfl/scala/sbt-bloop_2.12_1.0/1.5.0-18-003e6c7b/sbt-bloop-1.5.0-18-003e6c7b-sources.jar: download error: Caught java.nio.file.NoSuchFileException: /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/ch/epfl/scala/sbt-bloop_2.12_1.0/1.5.0-18-003e6c7b/.sbt-bloop-1.5.0-18-003e6c7b-sources.jar.part -> /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/ch/epfl/scala/sbt-bloop_2.12_1.0/1.5.0-18-003e6c7b/sbt-bloop-1.5.0-18-003e6c7b-sources.jar (/home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/ch/epfl/scala/sbt-bloop_2.12_1.0/1.5.0-18-003e6c7b/.sbt-bloop-1.5.0-18-003e6c7b-sources.jar.part -> /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/ch/epfl/scala/sbt-bloop_2.12_1.0/1.5.0-18-003e6c7b/sbt-bloop-1.5.0-18-003e6c7b-sources.jar) while downloading https://repo1.maven.org/maven2/ch/epfl/scala/sbt-bloop_2.12_1.0/1.5.0-18-003e6c7b/sbt-bloop-1.5.0-18-003e6c7b-sources.jar[0m
2022.06.05 15:56:00 INFO  [error] https://repo1.maven.org/maven2/net/java/dev/jna/jna-platform/5.5.0/jna-platform-5.5.0-sources.jar: download error: Caught java.nio.file.NoSuchFileException: /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/net/java/dev/jna/jna-platform/5.5.0/.jna-platform-5.5.0-sources.jar.part -> /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/net/java/dev/jna/jna-platform/5.5.0/jna-platform-5.5.0-sources.jar (/home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/net/java/dev/jna/jna-platform/5.5.0/.jna-platform-5.5.0-sources.jar.part -> /home/matthew/.cache/coursier/v1/https/repo1.maven.org/maven2/net/java/dev/jna/jna-platform/5.5.0/jna-platform-5.5.0-sources.jar) while downloading https://repo1.maven.org/maven2/net/java/dev/jna/jna-platform/5.5.0/jna-platform-5.5.0-sources.jar[0m
2022.06.05 15:56:00 INFO  [error] ))), directCause=None)), directCause=None)), directCause=None)[0m
2022.06.05 15:56:00 INFO  [warn] Removed stale /home/matthew/Documents/Scala/democracy/project/project/.bloop/democracy-build-build.json[0m
2022.06.05 15:55:59 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project[0m
2022.06.05 15:56:00 INFO  [success] Total time: 7 s, completed Jun 5, 2022, 3:56:00 PM[0m
2022.06.05 15:56:00 ERROR [info] waiting for lock on /home/matthew/.ivy2/exclude_classifiers.lock to be available...[0m
2022.06.05 15:56:00 INFO  [info] loading settings for project democracy-build from buildSettings.sbt,metals.sbt,plugins.sbt ...[0m
2022.06.05 15:56:00 INFO  [info] loading project definition from /home/matthew/Documents/Scala/democracy/project[0m
2022.06.05 15:56:01 ERROR [info] waiting for lock on /home/matthew/.ivy2/exclude_classifiers.lock to be available...[0m
2022.06.05 15:56:01 INFO  [success] Generated .bloop/democracy-build.json[0m
2022.06.05 15:56:01 INFO  [success] Generated .bloop/democracy-build.json[0m
